Maxwell2 5097 4769
 0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000
-0.0166 -0.0166 -0.0166  0.0166  0.0166  0.0166
-0.0333 -0.0333 -0.0333  0.0333  0.0333  0.0333
-0.0499 -0.0499 -0.0499  0.0499  0.0499  0.0499
-0.0665 -0.0665 -0.0665  0.0665  0.0665  0.0665
-0.0832 -0.0832 -0.0832  0.0832  0.0832  0.0832
-0.0998 -0.0998 -0.0998  0.0998  0.0998  0.0998
-0.1164 -0.1164 -0.1164  0.1165  0.1165  0.1165
-0.1331 -0.1331 -0.1331  0.1331  0.1331  0.1331
-0.1497 -0.1497 -0.1497  0.1497  0.1497  0.1497
-0.1663 -0.1663 -0.1663  0.1664  0.1664  0.1664
-0.1830 -0.1830 -0.1830  0.1830  0.1830  0.1830
-0.1996 -0.1996 -0.1996  0.1996  0.1996  0.1996
-0.2162 -0.2162 -0.2162  0.2163  0.2163  0.2163
-0.2328 -0.2328 -0.2328  0.2329  0.2329  0.2329
-0.2495 -0.2495 -0.2495  0.2495  0.2495  0.2495
-0.2661 -0.2661 -0.2661  0.2662  0.2662  0.2662
-0.2827 -0.2827 -0.2827  0.2828  0.2828  0.2828
-0.2994 -0.2994 -0.2994  0.2994  0.2994  0.2994
-0.3160 -0.3160 -0.3160  0.3161  0.3161  0.3161
-0.3326 -0.3326 -0.3326  0.3327  0.3327  0.3327
-0.3493 -0.3493 -0.3493  0.3493  0.3493  0.3493
-0.3659 -0.3659 -0.3659  0.3660  0.3660  0.3660
-0.3825 -0.3825 -0.3825  0.3826  0.3826  0.3826
-0.3992 -0.3992 -0.3992  0.3993  0.3993  0.3993
-0.4158 -0.4158 -0.4158  0.4159  0.4159  0.4159
-0.4324 -0.4324 -0.4324  0.4325  0.4325  0.4325
-0.4490 -0.4490 -0.4490  0.4492  0.4492  0.4492
-0.4657 -0.4657 -0.4657  0.4658  0.4658  0.4658
-0.4823 -0.4823 -0.4823  0.4824  0.4824  0.4824
-0.4989 -0.4989 -0.4989  0.4991  0.4991  0.4991
-0.5156 -0.5156 -0.5156  0.5157  0.5157  0.5157
-0.5322 -0.5322 -0.5322  0.5323  0.5323  0.5323
-0.5488 -0.5488 -0.5488  0.5490  0.5490  0.5490
-0.5654 -0.5654 -0.5654  0.5656  0.5656  0.5656
-0.5821 -0.5821 -0.5821  0.5822  0.5822  0.5822
-0.5987 -0.5987 -0.5987  0.5989  0.5989  0.5989
-0.6153 -0.6153 -0.6153  0.6155  0.6155  0.6155
-0.6319 -0.6319 -0.6319  0.6321  0.6321  0.6321
-0.6486 -0.6486 -0.6486  0.6488  0.6488  0.6488
-0.6652 -0.6652 -0.6652  0.6654  0.6654  0.6654
-0.6818 -0.6818 -0.6818  0.6820  0.6820  0.6820
-0.6984 -0.6984 -0.6984  0.6987  0.6987  0.6987
-0.7151 -0.7151 -0.7151  0.7153  0.7153  0.7153
-0.7317 -0.7317 -0.7317  0.7319  0.7319  0.7319
-0.7483 -0.7483 -0.7483  0.7485  0.7485  0.7485
-0.7649 -0.7649 -0.7649  0.7652  0.7652  0.7652
-0.7815 -0.7815 -0.7815  0.7818  0.7818  0.7818
-0.7982 -0.7982 -0.7982  0.7984  0.7984  0.7984
-0.8148 -0.8148 -0.8148  0.8151  0.8151  0.8151
-0.8314 -0.8314 -0.8314  0.8317  0.8317  0.8317
-0.8480 -0.8480 -0.8480  0.8483  0.8483  0.8483
-0.8646 -0.8646 -0.8646  0.8649  0.8649  0.8649
-0.8812 -0.8812 -0.8812  0.8816  0.8816  0.8816
